question	answer
全口無牙患者的福音－人工植牙	全口無牙的患者可以利用人工牙根來做咬合力比較好的穩固性活動假牙，如果口腔條件允許的話，甚至可以做全口固定式假牙，提供更好的支撐力，所以植牙推薦使用人工植牙。
植牙不用磨牙搭建牙橋	早期的假牙需要將兩旁的健康牙齒磨掉來配合假牙的接合，無形中增加未來的隱憂，現在人工植牙已經可以克服這個缺點，獨立的牙根不用磨掉兩旁牙齒來支撐，也就漸漸成為現代人治療缺牙的植牙推薦首選。
植牙減緩牙槽骨萎縮	牙齒拔除後便會漸漸流失骨質，齒槽骨失去牙根的支撐後便會萎縮，甚至是造成面部凹陷讓臉看起來顯老。而人工植牙可以代替已經失去的牙根，達到減緩骨質流失的效果，同時也可以讓面部外觀看起來更飽滿不顯老，而台中晶晶植牙中心亦提供多樣服務能夠全方位照顧牙齒。
近期就醫紀錄、健檢報告	植牙前需要了解患者至少最近三個月內的健康狀況、凝血功能、白血球數量等是否正常，特別是年長者或是有系統性疾病的患者，對於植牙風險評估一定要非常注重。
是否能夠配合往後的植牙療程	部份患者因各種因素較難定期回診（如外商、旅居海外），若是較難配合的情況，植牙推薦做微創快速植牙以節省時間。
糖尿病、心血管疾病、肝腎疾病、藥物過敏、麻醉不良反應等病史	如果植牙前評估有上述情況，需要與您原本的內科醫師評估植牙風險和身體狀況是否適合做植牙手術。若是貿然行之，則有風險引發植牙相關併發症。
活動假牙或口腔手術經驗	部份人對於口腔手術會感到恐懼甚至造成心悸，提供您的醫師相關經驗可以幫助了解您對手術的承受度。而對於缺牙患者來說，植牙雖然優點眾多，但仍有部份患者經過評估之後選擇能夠滿足需求的活動式假牙，因此需要詳盡的評估才能找到最適合的植牙推薦方式。
牙周病史	如果患者有牙周病史，需要先將牙周病診治完成後，直到牙周不再發炎，才可進行植牙，以降低植牙風險。
抽菸習慣	如果患者有抽菸的習慣，需要與植牙醫師詳細評估。因為研究顯示吸菸容易造成植牙失敗，尤其影響傷口癒合的速度，因此推薦植牙需求的吸菸患者可以先戒除。
是否有服用抗凝血劑或是骨質疏鬆藥物	因為植牙手術勢必會造成出血，因此手術至少五天前需要停用抗凝血劑。而雙磷酸鹽類的骨質疏鬆藥物則會影響骨頭癒合，推薦可讓植牙醫師與原本的骨科醫師會診來評估植牙前是否停用。
植牙手術後的消腫、止血相關問題	植牙後的瘀青與腫脹都是正常的現象，不用擔心是不良的感染情況或是植牙的後遺症。而麻藥在第一天消退後會感到較強烈的觸痛感，如有需要可以服用止痛藥，當天就寢時也可以將枕頭墊高來緩解。      到了第二天腫脹情況會更為明顯，在第三天則是腫脹最為明顯的時候（以上皆為植牙手術後的正常反應）。腫脹的情況會在第四天開始消退，完全消腫約需1到2個星期，但依然需要視個人體質而有不同的狀況。
植牙術後請這樣做	手術後口腔內如果咬著紗布，在大約40分鐘後（依醫師實際告知的時間為準），將紗布取出，如果還是有輕微滲血的情形可直接吞下。
植牙手術後請避免以下情況	說話或是大笑等動作都會影響傷口癒合，請少說話多休息並且不要用任何東西（包含舌頭）碰觸傷口以避免任何相關植牙風險或後遺症。
植牙後的定期回診	就像車輛需要定期保養，強烈推薦植牙術後也需要定期回診，頻率與一般的口腔檢查幾乎無異，做好口腔照顧才能讓植牙年限可以長久。
植牙會蛀牙嗎？	植牙本身並不會有蛀牙的問題，但是需要注意有可能得到牙周病。如果要變免牙周病上身，最基本的方式就是做好口腔的清潔，不僅用牙刷刷乾淨，也推薦植牙清潔時使用牙間刷、牙線來協助清潔。[{"question":"我之前是做活動假牙，但一直沒辦法適應，是否能改作植牙？","answer":"   一般來說，活動假牙的設計有金屬網架在內部支撐整體結構，就像建築物有大樑及柱子支撐一樣，由於體積龐大易讓病患有異物感，尤其對咽喉反射敏感者常會覺得不舒服且想吐，此時人工植牙就可能是唯一選擇，因為植牙與自然牙無論是外形及功能都可逼真，所以對缺牙患者而言是最佳選擇。   "},{"question":"我有骨質疏鬆症，是否可做植牙？","answer":"   一般骨質疏鬆症的病患主要是停經後婦女因女性荷爾蒙減少所致，男性較少發生。骨質疏鬆是人體鈣質漸漸流失，主要發生在四肢骨，鮮少發生在口腔周圍的顎骨，所以大部份患者還是經檢查後可進行植牙手術。但若病患有服用防止骨質疏鬆的藥物如雙磷酸鹽類者(例如福善美)則不可進行植牙手術，因此類藥物會抑制骨細胞活性讓骨整合作用失效，會造成植牙失敗，所以有服用此類藥物者是不適合做植牙的。   "},{"question":"我門牙想植牙，手術後可以馬上有假牙嗎？","answer":"   現在植體設計有新型問世，植牙後可立即負載裝上臨時假牙，但仍應注意不可過度施力咀嚼否則會引起植牙骨質受力過大導致失敗。   "},{"question":"請問想要植牙但條件不佳的標準是什麼？","answer":"   一般來說，拔牙後若無作牙嵴保存或拔牙時外力造成骨板斷裂，很容易傷口復原後形成骨質缺損，因而使得齒槽骨變薄及萎縮，不利日後植牙也失去美觀。   一般來說人工牙根置入齒槽骨後應在其二側(頰側及舌側)至少有1mm的骨質支撐，而大部份植體廠牌之最小直徑為3~4mm，因此若齒槽骨(牙床)寬度若少於7mm就可稱為骨質條件不佳，一般常用三明治法來增加骨質寬度，方法是將齒槽骨劈開再將植體放入中間就像熱狗麵包一樣，中間的空隙補上人工骨材靜待4~6個月長骨即可。    "},{"question":"什麼是雷射植牙，它與一般傳統方式有何不同？","answer":"   傳統植牙手術方式是用手術刀片劃開牙齦傷口易出血，而雷射植牙則是採用牙科雷射的高能量切開軟組織，組織容易剝離減少傷口撕裂風險，而雷射熱能可將組織蛋白質固化減少出血。另外若植牙手術區有細菌感染或肉芽組織則雷射可直接消毒滅菌去除不良生長組織促進新生，避免植牙失敗。它的優點是傷口不易出血、術後易癒合；缺點是儀器成本過高，醫師需接受專門訓練。    "},{"question":"植牙失敗後能重新再植嗎？","answer":"   植牙失敗後仍可重新植牙，只是植牙區骨質條件變差，需進行補骨、引導組織再生等輔助手術以增加成功率。     "},{"question":"是否缺幾顆牙就一定要植幾顆牙？可否數目較少？","answer":"  照理來說，缺牙數可不等於植牙顆數。如上顎全口缺牙（除智齒不算，應補 14 顆牙），若病患骨質條件好，且植入位置適當，是可以只植 10 ~ 12 顆人工牙根再作上 14 顆假牙。但正確觀念是植牙顆數越多，可共同分擔咬合力，萬一日後有失敗的人工牙根還可保持假牙的功能性。  病例一:洪先生，63歲，上顎無牙，希望植牙恢復正常功能  上顎共植入十顆植體，作上十二顆牙  下顎共五顆植體，作上八顆牙    病例二:陳先生，61歲，全口牙周病，希望植牙恢復正常功能   上顎植入十顆植體，作上十二顆牙   下顎植入七顆植體，作上九顆牙   "}]
我之前是做活動假牙，但一直沒辦法適應，是否能改作植牙？	   一般來說，活動假牙的設計有金屬網架在內部支撐整體結構，就像建築物有大樑及柱子支撐一樣，由於體積龐大易讓病患有異物感，尤其對咽喉反射敏感者常會覺得不舒服且想吐，此時人工植牙就可能是唯一選擇，因為植牙與自然牙無論是外形及功能都可逼真，所以對缺牙患者而言是最佳選擇。   
我有骨質疏鬆症，是否可做植牙？	   一般骨質疏鬆症的病患主要是停經後婦女因女性荷爾蒙減少所致，男性較少發生。骨質疏鬆是人體鈣質漸漸流失，主要發生在四肢骨，鮮少發生在口腔周圍的顎骨，所以大部份患者還是經檢查後可進行植牙手術。但若病患有服用防止骨質疏鬆的藥物如雙磷酸鹽類者(例如福善美)則不可進行植牙手術，因此類藥物會抑制骨細胞活性讓骨整合作用失效，會造成植牙失敗，所以有服用此類藥物者是不適合做植牙的。   
我門牙想植牙，手術後可以馬上有假牙嗎？	   現在植體設計有新型問世，植牙後可立即負載裝上臨時假牙，但仍應注意不可過度施力咀嚼否則會引起植牙骨質受力過大導致失敗。   
請問想要植牙但條件不佳的標準是什麼？	   一般來說，拔牙後若無作牙嵴保存或拔牙時外力造成骨板斷裂，很容易傷口復原後形成骨質缺損，因而使得齒槽骨變薄及萎縮，不利日後植牙也失去美觀。   一般來說人工牙根置入齒槽骨後應在其二側(頰側及舌側)至少有1mm的骨質支撐，而大部份植體廠牌之最小直徑為3~4mm，因此若齒槽骨(牙床)寬度若少於7mm就可稱為骨質條件不佳，一般常用三明治法來增加骨質寬度，方法是將齒槽骨劈開再將植體放入中間就像熱狗麵包一樣，中間的空隙補上人工骨材靜待4~6個月長骨即可。    
什麼是雷射植牙，它與一般傳統方式有何不同？	   傳統植牙手術方式是用手術刀片劃開牙齦傷口易出血，而雷射植牙則是採用牙科雷射的高能量切開軟組織，組織容易剝離減少傷口撕裂風險，而雷射熱能可將組織蛋白質固化減少出血。另外若植牙手術區有細菌感染或肉芽組織則雷射可直接消毒滅菌去除不良生長組織促進新生，避免植牙失敗。它的優點是傷口不易出血、術後易癒合；缺點是儀器成本過高，醫師需接受專門訓練。    
植牙失敗後能重新再植嗎？	   植牙失敗後仍可重新植牙，只是植牙區骨質條件變差，需進行補骨、引導組織再生等輔助手術以增加成功率。     
是否缺幾顆牙就一定要植幾顆牙？可否數目較少？	  照理來說，缺牙數可不等於植牙顆數。如上顎全口缺牙（除智齒不算，應補 14 顆牙），若病患骨質條件好，且植入位置適當，是可以只植 10 ~ 12 顆人工牙根再作上 14 顆假牙。但正確觀念是植牙顆數越多，可共同分擔咬合力，萬一日後有失敗的人工牙根還可保持假牙的功能性。  病例一:洪先生，63歲，上顎無牙，希望植牙恢復正常功能  上顎共植入十顆植體，作上十二顆牙  下顎共五顆植體，作上八顆牙    病例二:陳先生，61歲，全口牙周病，希望植牙恢復正常功能   上顎植入十顆植體，作上十二顆牙   下顎植入七顆植體，作上九顆牙   
