question	answer
請問唾液囊腫是要看那一科，是耳鼻喉科還是牙科呢？台南市立醫院這邊有雷射除唾液囊腫手術嗎？	謝謝您的提問唾液囊腫掛牙科及耳鼻喉科均可,建議掛牙科,一般牙科即可直接切除,不用使用雷射,一週內即可復原.
在網路上有人推薦黃致翔醫師，但網路預約頁面4/26（三）沒有診，請問是否能夠預約?	陳小姐您好~黃致翔醫師並未在秀傳醫院牙科駐診, 如果是口腔及牙齒的任何問題歡迎您撥打秀傳牙科約診專線04-7255139專人為您安排預約看診, 感謝您的留言.
我上星期五於貴院拔智齒後，因有縫線，一直到現在還是覺得張口困難，有時候甚至會感到些微血味，請問這樣是正常的嗎？會不會太久了？	拔牙後傷口會形血塊,所以口內有血味是正常的.至於張口困難那是因為腫痛造成的,應該過幾天就好了.
我有顳顎關節的問題，有時咬合伴隨臉頰的地方會疼痛，開口閉口也會??響，有一段時間了情況時好時壞，想要做進一步的檢查和治療，方便提供醫生的看診時間和姓名嗎？謝謝。	劉漢邦醫師.看診時間是星期二下午2:00-5:30.
請問牙周病治療好後，牙齦萎縮露出牙根，重建牙齦費用很高嗎，因為是門牙超不美觀？	牙齦萎縮，造成的原因有齒槽骨萎縮、牙肉萎縮、以及牙齒排列等因素。需要診斷是單一因素，或是多重因素造成，才能決定治療計畫，進而討論治療費用。歡迎您來牙科門診，有專業醫師為您診斷，提供客製化治療計畫
全口牙齦，有出現部份一塊一塊紅色斑點刷牙必流血 且牙齦腫痛（約持續兩周了）近日到牙科診所洗牙醫生告訴我 要改看口腔科那我應該掛哪一位醫生好呢？	感謝您的留言，建議您掛牙周病科或家庭牙科門診，秀傳牙科部醫師會提供您專業諮詢醫療服務。牙科預約專線04-7255139，將由專人為您服務。 
您好:最近舌頭不知道為什麼感覺有點痛(沒有任何破洞),舌紋好像也滿明顯的,大概有痛1個星期多了。請問{舌頭}這個部位是要看牙科還是耳鼻喉科丫?如果是牙科有比較建議專門看口腔的牙科醫生嗎?謝謝!	感謝您的留言，建議您掛口腔外科或一般牙科門診，秀傳牙科部醫師會提供您專業諮詢醫療服務。牙科預約專線04-7255139，將由專人為您服務。
拔完智齒鼻腔內一直留血 是口鼻相通了嗎還有貴院的牙醫紙圍巾是都統一不用夾鏈條直接鋪著嗎？	鼻腔流血是否因口鼻相通造成，需於門診做進一步檢查方能確定，建議您回診由醫師做進一步診斷。本院的紙圍巾原則上統一使用夾鏈條固定，並非直接鋪著，感謝您的留言詢問。
請問貴院有提供牙齒美白的醫療服務嗎? 費用怎麼算呢?	本院有提供牙齒美白醫療服務，療程細節及費用，視個人情況會有不同，需經門診與醫師討論而定。歡迎您撥打秀傳牙科約診專線04-7255139，感謝您的留言。
醫師您好因為我們人在越南 前幾天小女兒喊牙疼 看了一下發現牙齦紅 未腫之後觀察了幾天發現牙齦開始長出一顆紅色的突出物 再來變成白色有膿 疼痛越來越嚴重之後今天臉頰有點微腫帶他去找了幾間牙醫 都說因為妹妹太小 沒辦法看 因為怕亂動之類等等的 所以只告知吃止痛藥所以最後只拍了X光照片 不曉得能否給醫師看X光片後 先大概告知目前狀況 因為我有跟先生討論想回台灣看牙(理想牙醫)麻煩了 謝謝	小朋友的牙患狀況，就醫時仍需重拍X光片以利觀察，建議可先致電預約，理想預約專線︰7260426。
