question	answer
作植牙時是不是一定要找植牙專科醫師？	目前衛生署並不承認植牙專科醫師，只要是具有中華民國牙醫師執照者皆可執行植牙業務。就像拔智齒也不需要拔智齒專科，每一位牙科醫師都可執行拔智齒手術(事實上也沒有拔智齒專科)。植牙醫學會是一群牙醫師為了共同研究植牙相關的學問及技術所成立的人民團體，而其所頒發的植牙專科醫師證書也只是此植牙醫學會中的專科醫師甄審會所頒發的『榮譽』。就像《醫師》就等同《有醫德&好醫術的醫師》嗎？【植牙專科】就等同【植牙不失敗】嗎？所以有植牙需求的病患還是要因實際狀況選擇值得信賴的牙醫師，請植牙醫師提供相關成功案例及保固期限以保障自身權益。案例曾先生，52歲，全口多顆缺牙，希望能植牙恢復正常功能
植牙手術有必要照電腦斷層掃描嗎？為什麼？	植牙手術是精密的外科手術，如果事先能夠知曉組織狀況，對成功不但有幫助還能節省時間。比喻來說，如果假日要去墾丁玩，一定要先安排好住宿及交通，若直接上路，到了車站才發現買不到票或到了墾丁找不到住宿地，只是徒增困擾及增加時間；植牙也是一樣，植牙前事先拍攝電腦斷層掃描，可預先知道植牙區骨高及骨寬，是否應準備相關手術器械及材料，才不會手忙腳亂。案例楊先生，58歲，鼻竇增高及植牙手術後追蹤利用3D電腦斷層掃描觀看植牙後骨質狀況
糖尿病患可否植牙？該注意什麼？	糖尿病患特癥是身體組織內血糖較高，傷口若遭遇細菌侵入易引起感染，嚴重者會導致蜂窩性組織炎及菌血症。植牙手術是侵入性醫療行為，口腔中又充斥各種細菌，所以若血糖控制良好還是可進行植牙手術，最好讓內科醫師與植牙醫師聯繫掌握病患狀況，把血糖濃度控制好，植牙手術前並事先服用抗生素以降低感染風險。案例李先生，60歲，有牙周病及糖尿病，想植牙
拔牙後立即植牙有何好處？過程為何？	拔牙後立即植牙是缺牙的首選治療方式，又稱即拔即種，病患只需一次手術時間，不需二次麻醉及較長的醫療等待，可縮短治療時間。
什麼是鼻竇增高術？有風險嗎？	在人體解剖結構中，上顎骨中有許多空腔，分別叫上顎竇與鼻竇。這些結構的目的是暖化與濕化我們吸入的空氣。舉例來說:當冬天氣溫很低時，外界空氣與肺臟內的體溫相差很大時，吸入肺中的空氣若不經過鼻竇來暖化與濕化，我們的肺就會不舒服，另外上顎竇與鼻竇內有黏液與纖毛可過濾空氣中髒汙與灰塵顆粒，可讓進入肺中的空氣品質保持一定的水準。當上顎缺牙時，這些空洞剛好位於植牙部位之下方，會讓人工牙根不穩定，因此植牙醫師必須將此空洞以人工或自體骨材作填補，以提供人工牙根良好之著床。上顎竇增高術是一侵入性手術治療，又有許多血管與神經穿過，因此有一定之風險，但只要是訓練有素的植牙醫師操作，應可降低不適與意外。
作植牙手術前需先作哪些評估及診斷才知是否可植牙？	植牙手術與一般外科手術相同，術前需評估：
			病患的基本生理狀況，例如是否有高血壓、糖尿病、凝血時間…等。
			全口 X 光攝影甚至斷層掃瞄，可了解手術區域的骨質條件及解剖結構。
			上下齒顎間的咬合關係及未來義齒的設計方式。
		有最完全且妥善的評估才能保證植牙的成功及日後的方便使用。
病患的基本生理狀況，例如是否有高血壓、糖尿病、凝血時間…等。	
全口 X 光攝影甚至斷層掃瞄，可了解手術區域的骨質條件及解剖結構。	
上下齒顎間的咬合關係及未來義齒的設計方式。	
人工植牙如何保養？	人工植牙與正常牙齒一樣需要保養，若希望人工植牙能得到較長期的使用效果，除了要有正確的咀嚼方式與習慣（儘量不去挑戰高硬度的食物如螃蟹腳或開汽水瓶蓋），還必須保持良好的口腔衛生習慣（正確刷牙及牙線清潔）。另外每 3 ~ 6 個月也需固定回診巡視，以確定植牙的正常功能。
植牙手術後多久可裝上假牙？	植牙手術後需待人工牙根與齒槽骨產生癒合（稱之骨整合），約 3 ~ 6 個月後再接上支台齒完成義齒贗復。若因美觀及功能需求，牙醫師可在此等待期製作臨時假牙以滿足病患需求，但應避免對手術區域有壓迫或傷害情況。
人工植牙會不會失敗，原因為何？	人工植牙有其風險，只要病患條件不差，加上專業牙醫師審慎評估，成功率可達 95% ~ 98% 以上。常見造成的失敗原因有
			糖尿病未受良好控制
			重度吸煙者未作好口腔衛生
			夜間磨牙病患過度咬合壓力
			口腔衛生不良者
		以上原因會導致植體周圍炎而造成失敗
糖尿病未受良好控制	
重度吸煙者未作好口腔衛生	
夜間磨牙病患過度咬合壓力	
口腔衛生不良者	
植牙手術後傷口照護需要注意哪些事情？	植牙手術因屬侵入性治療，所以有傷口，又口腔內每日都要進食，食物加上細菌都易造成傷口的感染。因此，植牙手術後開始至術後 3 ~ 5 小時必需先冰敷患處，一方面降低出血及腫脹的可能，另一方面會讓傷口疼痛降低，退麻後開始有些不舒服，可服用藥物（消炎、止痛、消腫） 進食後務必作好口腔清潔，傷口處可以漱口水擦拭或含漱口水 3 分鐘消毒。飲食時儘量不用傷口處咀嚼，食物採流質或半流質較佳，若傷口無異樣待拆線後可恢復正常飲食。
我有長期服用慢性病藥物的習慣，是否會影響植牙手術？需要停藥嗎？	有長期用藥習慣之慢性病患者，要作植牙手術前最好知會您的主治醫師，針對藥物特性若有影響手術進行則需停藥數日。有些心血管疾病患者長期服用低劑量抗凝血劑（如阿斯匹靈 Aspirin），術前最好停藥三日，以免術後流血不止。糖尿病患者最好作血糖監測，以免造成低血糖而昏迷。
何謂微創植牙？它與一般植牙手術有何差別及優點？	微創植牙即是所謂的不翻瓣植牙手術，此方式是在植牙手術時直接在牙肉及齒槽骨鑽孔，並不將牙齦切開併翻開露出手術區域，優點是縮小傷口，術後疼痛較少，但缺點是無法直視手術區域，牙齦下的齒槽骨狀況無法充份掌握，無形中增加植牙失敗的風險。為執行微創植牙，病患的牙床骨質條件、齒槽骨寬度及高度皆需仔細評估，最好配合牙科電腦斷層攝影以了解手術區域的狀況方可施行，否則人工牙根植入時若發生植入錯誤，將減少使用年限及增加失敗風險。
植牙手術過程為何？	一般植牙手術過程步驟如下:
			手術區域消毒並準備器械
			病患接受局部麻醉
			植牙區域切開並翻瓣，可直視手術區之齒槽骨，了解骨質狀況
			在齒槽骨上利用植牙機進行鑽孔，由小至大，視齒槽骨寬度及高度製造出欲植入人工牙根大小的骨窩洞
			選擇適當品牌及大小的人工牙根鎖入骨窩洞中，至人工牙根完全沒入齒槽骨內
			附加手術:有時因齒槽骨條件不好或因局部解剖構造影響，必需進行上顎鼻竇增高術或骨粉填補以強化植體成功率
			縫合手術區域
		
手術區域消毒並準備器械	
病患接受局部麻醉	
植牙區域切開並翻瓣，可直視手術區之齒槽骨，了解骨質狀況	
在齒槽骨上利用植牙機進行鑽孔，由小至大，視齒槽骨寬度及高度製造出欲植入人工牙根大小的骨窩洞	
選擇適當品牌及大小的人工牙根鎖入骨窩洞中，至人工牙根完全沒入齒槽骨內	
附加手術:有時因齒槽骨條件不好或因局部解剖構造影響，必需進行上顎鼻竇增高術或骨粉填補以強化植體成功率	
縫合手術區域	
我有牙齒該拔，可否拔牙及植牙手術同時進行？	拔牙與植牙手術是可同時進行，即所謂的即拔即種，但前提是被拔牙的患處不可有細菌感染或肉芽腫，以免此侵入性手術因局部發炎或傷口感染而增加失敗的機會。
植牙手術是否需住院或全身麻醉？	一般來說，植牙手術就如同拔牙一樣的過程，只需局部麻醉，不需住院也不需全身麻醉，只有在特殊情況下如同時全口植牙或需自體從其他部位取骨移植（大手術區）才需要住院及全身麻醉。
是否缺幾顆牙就一定要植幾顆牙？可否數目較少？	照理來說，缺牙數可不等於植牙顆數。如上顎全口缺牙（除智齒不算，應補 14 顆牙），若病患骨質條件好，且植入位置適當，是可以只植 10 ~ 12 顆人工牙根再作上 14 顆假牙。但正確觀念是植牙顆數越多，可共同分擔咬合力，萬一日後有失敗的人工牙根還可保持假牙的功能性。
什麼是雷射植牙，它與一般傳統方式有何不同？	傳統植牙手術方式是用手術刀片劃開牙齦，而雷射植牙則是採用牙科雷射的高能量切開軟組織，它的優點是傷口不易出血、術後易癒合；缺點是儀器成本過高，恐造成民眾負擔，其他步驟則無大差異。
植牙手術會不會很痛？術後多久才能正常吃東西？	植牙手術是一種侵入性治療，術後疼痛與恢復時間全看手術的範圍大小與複雜程度，基本來說，範圍愈大，難度愈高，則疼痛愈大，恢復期愈長！若是病患條件良好，手術難度不高，也可能當日就恢復正常進食！
我父親已高齡 72 歲，現在全口無牙，吃東西只能用活動假牙，功能不彰，請問植牙有年齡限制嗎？	人工植牙是近年來發展出的牙科新技術，是人類繼乳牙及恆牙之後的第三套牙齒。由於材料學的進步及臨床的不斷追蹤，此項技術的成功率已可提升至95%，傳統上齒列有缺牙只能靠固定式牙橋（拔一顆作三顆），或活動假牙（多顆缺牙）來解決問題，但固定式牙橋必須將前後鄰牙作修磨，而活動假牙則有咬合力不足及鬆脫的困擾，因此人工植牙的出現的確解決不少牙科病患的問題。舉例來說：人工植牙就像蓋房子，房子要穩定，地基是成功的關鍵。試想若有地震、颱風或土石流，房子的根基就很重要，地基越深，房子的穩定就越好，但有時房子必須蓋在填土區或沼澤地，此時就需作地質強化的動作，否則房子蓋好後容易有崩塌的危機。人類的牙床在有健康的牙齒時，齒槽骨是寬且高的，若有牙周病侵犯或拔牙，則齒槽骨會發生萎縮而變窄，但是牙醫師總希望能植入較長較寬的人工牙根，因此年紀愈大的牙科病患，植牙的條件普遍來說是較差的，也就是說拔牙愈久或有牙周病的病患植牙的條件會較差，可能需先補骨或植骨增加牙床高度及寬度才可植牙，牙科病患只要身體狀況允許（糖尿病、高血壓…等需先經醫師評估）皆有機會接受植牙治療！
門牙因車禍撞斷而拔除，植牙過程為何？	門牙因車禍撞擊而拔除導致缺牙的情況，幾乎每個月都會碰到，如要植牙需先評估齒槽骨癒後骨質狀況，然後進行植牙手術，待 4 - 6 個月後再作義齒恢復正常功能。
我有多顆缺牙，作活動假牙好還是植牙好？	一般來說，多顆缺牙不適宜用固定牙橋作義齒，只能選擇活動假牙或人工植牙。
			活動假牙優點是價格便宜，但咬合較差（不易咬硬物）且不易保持清潔。
			人工植牙價格較貴但美觀且實用，可說是人類的第三套牙。
		選擇何種假牙端看經濟與需求的考量。
活動假牙優點是價格便宜，但咬合較差（不易咬硬物）且不易保持清潔。	
人工植牙價格較貴但美觀且實用，可說是人類的第三套牙。	
我因牙周病被牙醫拔了許多牙，現在想植牙，牙醫卻告訴我最好戒煙，可是我是老煙槍，怎麼辦？	現代牙醫臨床已證實抽煙會加重牙周病的病情（註：抽煙不會造成牙周病但會加重牙周病），因此有牙周病的老煙槍的確應考慮戒煙來挽救自己所剩不多的牙齒。人工植牙在結構上可分骨內及口內兩部份，中間再用螺絲釘串起鎖緊，若是口腔衛生習慣不良或抽煙造成植體周圍發炎，將會減損人工植牙的使用壽命。
我想植牙，但醫生說我骨質不好，必須先補骨才能作，這是什麼意思？	植牙就好比是蓋房子，人工牙根就是打地基，一般而言，當牙齒被拔掉後，齒槽骨會開始吸收，降低牙床骨質的高度及寬度，時間愈久，情況會愈嚴重，若是缺牙數年後，甚至骨質薄如刀刃（視個人體質、年齡及健康狀況而定）。植牙的成功基礎在於牙床的骨質條件，植入人工牙根的直徑及長度愈大，穩定度相對較高（但不是絕對），有時牙床骨質不夠寬或有空洞化時，醫師就必需加強結構（就像灌漿補強），利用病患自身取得骨頭或人工骨材來做好植牙準備，以提高成功率！
植牙為什麼這麼貴？它可以使用一輩子嗎？	傳統人類只有乳牙及恆牙二種齒列，隨著醫學進步，已發展出第三套牙齒那就是人工牙根（植牙）。它的基本架構分上下兩部分，上部露出于口腔中，下部植入于顎骨中。它是屬於侵入性治療，手術過程大致為：事前評估 → X 光檢查 → 局部麻醉 → 切開牙齦 → 顎骨鑽孔 → 植入鈦合金人工牙根 → 傷口縫合，待傷口癒合 → 骨質與人工牙根緊密嵌合後，再製作義齒。由於材料研發較貴，且多為進口，加上手術有失敗風險，故費用較貴。近年來植牙技術已極為成熟，成功率極高，若非個人體質不適或條件不良，已漸取代傳統牙橋式義齒。人工植牙的使用年限，端視個人維護保養，無法明白告知幾年，只要好好維護，即可延長使用壽命！
