question	answer
日本腦炎疫苗可否與五合一疫苗一起施打？(日本腦炎疫苗通常在每年3-5月施打，家長擬與五合一疫苗一起施打)	不可，須間隔一個月。（2011.03.12）
若哺乳期間必須使用藥物有什麼應注意的事情？	哺乳的好處相信每位媽媽都知道您的寶寶。但是為了讓您的寶寶攝取到質優量多的母乳，媽媽在日常生活中可能必須注意一些細節，除了日常飲食應儘可能避免酒、咖啡、茶、煙等刺激性食物外，如果媽媽因疾病因素須服用藥物時，以下用藥須知可提供您作參考，希望您不會因不吃藥延誤病情，而您的寶寶也不會因而受到藥物的影響。                                                哺乳期間如果要使用藥物治療，請先與醫師或藥師充分討論。如果醫師認為必須使用藥物治療，而不適宜哺乳時，請先治療您的疾病，因唯有健康的身體才能有足夠體力照顧您的寶寶。                                                如果哺乳期間確實須使用藥物治療且此藥物不影響寶寶時，為了減少嬰幼兒攝取到藥物量，可採取下列措施：                                                餵奶時間請配合下列服藥期間，例如：                                                可在餵奶後服藥                                                在嬰幼兒睡覺前服藥                                                服藥前先將乳汁擠出儲存於冰箱                                                請勿自行服用其他服用其他成藥或中藥                                                服藥期間哺乳時，應注意觀察藥物對嬰幼兒的影響，如有不尋常異狀請立即就醫。（2012.02.05）
如何選用日常保健食品？	當您決定要購買使用保健食品時，以下是一些您應該有的觀念及注意事項： 1. 小心閱讀包裝上的所有標示當您決定要購買使用保健食品時，以下是一些您應該有的觀念及注意事項：                                                1. 小心閱讀包裝上的所有標示。                                                2. 不要與他人共用這些產品。                                                3. 兒童儘可能避免使用。                                                4. 如果您正在懷孕或計劃應避免使用。                                                5. 不要服用超過標示的建議量。                                                6. 不要選用標示無建議劑量的產品。                                                7. 避免選用超過有效期限或印有多種批號的產品。                                                8. 選用的產品應列有製造廠、地址、電話號碼。                                                9. 最好有藥局購買產品，避免郵購或網路訂購。                                                10. 如果您嘗試用在治療嚴重的疾病，如癌症、AIDS等請告知您的醫師。                                                11. 如果您正在服用處方藥物，請不要為了同樣症狀再服用其它草藥或補充品。                                                12. 儘可能選用單方成分的產品，避免服用多種配方成分的製劑。                                                13. 天然並非意謂著安全，服用後若又任何不適的情形，請告知醫師或藥師。                                                14. 保健食品並非藥品，對於這些產品請不要抱持著具有治癒或神奇效果的期待，它只能作為輔助而不能取代正規的醫療照護。                                                15. 適度的休息、營養及運動是健康的不二法門，這不是任何藥品能夠取代的。（2012.01.12）
請問貴院是否有黃熱病疫苗？	有，可掛號本院家庭醫學科，限掛旅遊門診(負責醫師：鄒孟婷醫師、黃偉新醫師、徐慶玶醫師。)通常在流行地區旅遊活動時，應在抵達流行地區前10天，接受一劑黃熱病疫苗預防注射（0.5mL），注射一劑可維持10年的免疫力。本院亦備有其他因旅遊須施打的疫苗，如：流行性腦脊髓膜炎、狂犬病、成人小兒麻痺、成人日本腦炎、傷寒等疫苗、口服瘧疾用藥等。（2011.12.12）
如何辨別應該丟棄的藥品？	藥品開封後最好盡快使用，不要長期存放。要注意的是，藥罐上標示的有效期限是「未打開包裝」狀態下良好保藥品開封後最好盡快使用，不要長期存放。要注意的是，藥罐上標示的有效期限是「未打開包裝」狀態下良好保存的期限，打開包裝後，有效期限就會縮短。                                                1.未打開包裝的藥品都會標示有效期限，如果超過有效期限就應該丟棄。                                                2.打開包裝後，因為會受到環境中粉塵或細菌污染，一般建議口服藥或外用藥3到6個月；眼用藥或口服液劑超過1個月，就不要使用。                                                3.藥品外觀已經變色，就不要使用，因為有些藥品，雖然仍在有效期限，但仍會因受環境中濕氣影響，變質潮解，需要丟棄。（2011.11.12）
市售的感冒藥水一次應該喝多少你（妳）知道嗎？	在日前有一則「感冒藥水當水喝 年輕男子腎衰竭」的新聞報導，才讓許多人驚覺我們有時候去藥房購買的那種廣告一罐一罐玻璃瓶的感冒藥原來不是一次就喝一罐，因為平時到藥局買的感冒糖漿小小一瓶也都沒有附杯子所以容易讓人以為一次就是喝一罐，時間一久喝甜甜的喝習慣了，人體的代謝器官也不堪負荷而損壞了！事實上這是不對的，每個人的歲數、體重、身體症狀情形等等都不盡相同，怎麼會都喝一罐呢？                                                                                                那到底怎麼喝法才對呢？事實上市面的感冒藥水高達數十種，有許多不需醫師處方就能買到的成藥，也有必需醫師處方才能使用的處方藥，然而即使是安全性高的成藥，如果我們不按照建議劑量喝的話，仍然會有導致肝腎等器官功能損傷的危險！拿很常見的某品牌感冒糖漿來說，建議劑量為3歲以上未滿6歲：每次喝2cc；6歲以上到12歲：每次喝4cc；12歲以上即成人劑量每次喝8cc；其他的種種感冒糖漿，每次服用劑量也從2.5cc至10cc依歲數體重而不等，基本上每次服用是不會超過15cc的，以一瓶感冒糖漿最少都有60cc以上來看，一次喝掉一瓶都已經是超過劑量了，這些行為都將對人體肝腎等代謝器官造成負擔，有的人因為它甜甜的好喝又方便取得，在長期過量服用之下極可能造成肝腎衰竭的後果，實在不可輕忽。                                                                                                一般民眾不用醫師就可以買的到的感冒液屬於醫師藥師指示藥品，基本上都含有Acetaminophen（止痛退燒）、Caffeine（咖啡因）、Chlorpheniramine（抗組織胺）、Guaifenesin（止咳）等等可以緩解一般感冒造成身體不舒服的成分，3歲以下的孩童除非經醫師指示是不建議自行服用的，至於一般人服用的話也不建議服用超過7天以上，並且如果服用幾次後感冒情形都沒有改善的話，就應該找醫師診斷治療才能以免病情惡化。民眾也應該注意家中如果有長輩等拿感冒糖漿提神或是有習慣長期服用等上癮情形，都應該協助他們找專科醫師做治療以免發生危險。總之，感冒糖漿雖然較處方藥物安全性高，但它們畢竟都是藥品，在使用上還是謹記一定要遵照建議的劑量服用才能確保我們身體的安全。（2011.10.12）
七價, 23, 10價的肺炎鏈球菌，與新上市的13價肺炎鏈球菌有何不一樣？	肺炎鏈球菌是一種具莢膜的G(+)致病菌，肺炎球菌莢膜之多醣體)變異，已約有90種不同血清型被鑑定出來，分別依發現之次序編號命名，其中1至23型與人類疾病有關。最早(1977年)的肺炎球菌疫苗含14種血清型多醣體，1992年最早核准含23種血清型多醣體疫苗，即23價的肺炎鏈球菌。由於多醣體疫苗其免疫作用是經由體內B細胞產生，而此種免疫系統在小於二歲之幼兒尚未成熟，因此對多醣體疫苗之效果不好且無法持續，所以不適用於2歲以下之嬰幼兒。接合型疫苗是將多醣體接合到蛋白質，以引起免疫反應，因此對幼兒具保護效果。                                                接合型疫苗適用小於二歲之幼兒如七價, 10, 13價的肺炎鏈球菌接合型疫苗。七價含4, 6B, 9V, 14, 18C, 19F, 23F七種血清型。10價肺炎球菌接合型疫苗，增加1,                                                5, 7F三種血清型，主要共價接合於不可分型流感嗜血感菌(non-typeable H.influenzae,NTHi)之蛋白質D載體(protein D carrier)，另有18C共價接合於破傷風類毒素載體蛋白及19F共價接合於白喉類毒素載體蛋白。新上市十三價結合型疫苗，其研製技術同7價，但增加6種血清型(1,                                                3, 5, 6A, 7F,19A)。衛生署核准適應症為可用於出生2個月至5歲大嬰幼兒的主動免疫接種，以預防血清型1, 3, 4, 5, 6A, 6B, 7F,                                                9V, 14, 18C, 19A, 19F及23F等肺炎球菌所引起的侵入性疾病。 （2011.05.12）
我是一個大學生，年22歲，現在有定期在做重量訓練，知道有一些促進肌肉生長的藥，也聽說在國外不是禁藥且隨時可以購買，但不知道其作用為何？又有何負作用？我可以買來服用嗎？和類固醇有什麼不同？在國內我找不到這類資訊，希望醫師能告訴我詳細的資料。(肌酸(creatine))	通常肌酸可以在體內肝臟、腎臟、胰臟自行合成，也可以由飲食攝取，富含肌，以肉類、魚類為最豐富，約每公斤之肉類含有4公克之肌酸，一般正常人每日攝取1-2公克之肌酸。就運動員而言，最常用劑量，一開始先服用5克，每日4次，連續5天後，改成每日2-5克。如此可以增加20%-30%磷酸肌酸之貯存。                                                對運動員而言，補充肌酸似乎有正面之反應，但安全性要考慮。有研究報告，可能會影響腎臟的功能、神經毒性、肌肉病變、心臟方面等不良反應。雖奧林匹克等運動協會並沒有禁用，但對於對美國藥物食品管理局(FDA)，也未核准使用，因此要小心評估
懷孕B級用藥與C級用藥，那一種對孕婦的危險性最高，什麼等級是孕婦絕對不可使用的？	A級：人體對照組實驗無法證實對第一期孕程之胎兒有危險性，其傷害胎兒之可能性極小。                                                B級：動物實驗無法證實對胎兒有危險性，但又無人體對照組實驗；或動物實驗雖已證實對胎兒有不良作用但在孕婦照組實驗中卻無法證實對胎兒有危險性。                                                C級：動物實驗顯示對胎兒有危險性，但沒有人體對照照組實驗；或孕婦和動物實驗都缺乏。                                                D級：已證實對人類胎兒有危險性，但有些情形仍可考慮使用(危及生命時或嚴重疾病以較安全藥物無法使用或無效時）。                                                X級：已證實對人類胎兒有危險性，危險性可能超過藥物治療之優點。
2/13最後一次月事，3/1因咳嗽服用感冒藥三天，藥物有Amoxil、Acetaminophen、Ambroxol                                            HCl 30mg、Medicon、Dimetane、Pseudoephedrine、Alugel，試問對胎兒有否影響與應有措施？	根據您最後一次月經(2/13)，推算應於2/27前後排卵受精的，在文獻中有記載，在受精後約17天內，受精卵對於藥物之影響是"all                                                or none"(全或無反應)，也就是說於最後一次月經開始算約30天(~14+17天)內；若對藥物有影響，就會使得受精卵不易生存活下來，可能會自動吸收。
請問我服用Clarityne (Loratadine)及Vistaril (Hydroxyzine)；目前已停用48hr，是否可以開始餵母乳？	(1)Clarityne(Loratadine)之t1/2為12~15hrs，若要完全排除體外，約4-5個t1/2；即48~75hr後，可以完全排除。[1]                                                (2)Vistaril (Hydroxyzine)：t1/2 = 3-7hr [1]                                                3-7hr×(4-5)＝12~35hr，所以2天後即可。因此建議3天後，可以開始餵乳                                                **另於Drug Facts and Comparisons, 2000:699記載Loratadine半衰期為8.4~28hr                                                **於Martindale：The complete drug reference, 1999:412記載，曾有報告Hydroxyzine之elimination                                                half-life可達20hrs。
三合一疫苗(白喉百日咳破傷風)院內健兒門診與藥局的有何不同?	1. DTaP 的成份為Diphtheria, Tetanus, acelluar pertussin vaccine,而DTP的成份為Diphtheria,                                                Tetanus, whole cell pertussin vaccine.兩者在臨床試驗中有類似的療效與血清學反應,但是在副作用的機率上,例如leg pain,                                                fretfulness(疹), fever, anorexia上, DTaP 的不良反應較低.但是在一些試驗中, DTaP較具有免疫性,產生的IgG反應時間較長.                                                2.補充相關資料:                                                (1)DTaP(1)DTaP又可分5-component acellular DTP vaccine與2-component acellular DTP vaccine,在兩年的follow-up(共7255                                                childrens), 5-component acellular DTP vaccine療效優於2-component acellular DTP vaccine                                                & DTP.                                                (2) DTaP vaccine包含兩個重要的蛋白質與免疫性有關:lymphocytosis promoting factor & filamentous                                                hemagglutinin,它不像whole cell vaccine,為低含量的lipopolysaccharide,使whole cell vaccine容易有fever                                                & toxic reaction. Acellular vaccine已先由formalin處理降低毒性.在1991年FDA核准DTaP用於第四劑與第五劑.ACIP(Advisory                                                Committee on Immunization Practice)建議使用DTaP來降低注射後的不良反應.
